ingredient_id,aisle,item,look_for,enter_amount_in,product_name,amount,unit,price,notes
baby_potatoes,Produce,Baby potatoes,"Baby potatoes, about 1.5 lb bag","oz, lb, g or kg (weight)",,,,,
spinach,Produce,Baby spinach,"Baby spinach, about 10 oz tub","oz, lb, g or kg (weight)",,,,,
bell_pepper,Produce,Bell peppers,"Bell pepper, about 1 count","count, like the sample: 1 count = 1",,,,,
broccoli,Produce,Broccoli florets,"Broccoli florets, about 12 oz bag","oz, lb, g or kg (weight)",,,,,
butter_lettuce,Produce,Butter lettuce,"Butter lettuce, about 1 head","count, like the sample: 1 head = 1",,,,,
cherry_tomatoes,Produce,Cherry tomatoes,"Cherry tomatoes, about 10 oz","oz, lb, g or kg (weight)",,,,,
cucumber,Produce,Cucumbers,"Cucumber, about 1 count","count, like the sample: 1 count = 1",,,,,
garlic,Produce,Garlic cloves,"Garlic, about 1 head (about 10 cloves)","count, like the sample: 1 head (about 10 cloves) = 10",,,,,
green_beans,Produce,Green beans,"Green beans, about 12 oz bag","oz, lb, g or kg (weight)",,,,,
lemon,Produce,Lemons,"Lemon, about 1 count","count, like the sample: 1 count = 1",,,,,
lime,Produce,Limes,"Lime, about 1 count","count, like the sample: 1 count = 1",,,,,
carrots,Produce,Shredded carrots,"Shredded carrots, about 10 oz bag","oz, lb, g or kg (weight)",,,,,
sweet_potato,Produce,Sweet potatoes,"Sweet potatoes, about 3 lb bag","oz, lb, g or kg (weight)",,,,,
onion,Produce,Yellow onions,"Yellow onions, about 3 lb bag (about 6)","count, like the sample: 3 lb bag (about 6) = 6",,,,,
chicken_breast,Meat & seafood,Chicken breast,"Boneless skinless chicken breast, about 2.5 lb pack","oz, lb, g or kg (weight)",,,,,
chicken_sausage,Meat & seafood,Chicken sausage links,"Chicken sausage, about 4 links","count, like the sample: 4 links = 4",,,,,
chicken_thigh,Meat & seafood,Chicken thighs,"Boneless skinless chicken thighs, about 2 lb pack","oz, lb, g or kg (weight)",,,,,
ground_beef,Meat & seafood,Ground beef (93% lean),"Ground beef, 93% lean, about 1 lb pack","oz, lb, g or kg (weight)",,,,,
ground_turkey,Meat & seafood,Ground turkey (93% lean),"Ground turkey, 93% lean, about 1 lb pack","oz, lb, g or kg (weight)",,,,,
salmon,Meat & seafood,Salmon fillet,"Frozen salmon fillets, about 1 lb bag","oz, lb, g or kg (weight)",,,,,
